image_path,font,font_size,color
images/d101fd9a-83cf-4a6c-974f-16b505b0c637.jpg,Sarabun-Regular,22,#DF3030
images/7531c3c5-e990-4daf-b44c-6b6a3f4eb5fd.jpg,Prompt-Regular,18,#DF3030
images/a5f69a02-3a51-457a-b043-6284ea1fd48e.jpg,FkBeautyRegular,28,#FF6666
images/52878fc8-1af5-497f-ac12-2834d8a5c27f.jpg,FkBeautyRegular,28,#0000FF
images/188ff66c-272f-4644-8c00-7e2cc171f1e7.jpg,KhaosuayThin,24,#DF3030
images/f0283bbb-9f1c-4eaf-a8c4-25788508f5f4.jpg,NotoSerifThai-Regular,26,#A020F0
images/c3255196-16a4-4232-bb38-259304d3bf9c.jpg,NotoSerifThai-Regular,26,#DF3030
images/60e7f736-8f6a-41a4-ae43-b07457a1fd71.jpg,Kodchasan-Regular,20,#FF6666
images/06df32f1-37dc-4858-af68-7b33e1984906.jpg,NotoSerifThai-Regular,22,#DF3030
images/a80f320a-9e5c-4e41-8b5c-3f5ff0296660.jpg,Sarabun-Regular,18,#DF3030
images/e8c5700d-7afe-4445-bfd0-6f35396f24db.jpg,FkBeautyRegular,24,#FF6666
images/298b2bac-cf6c-49f0-8130-a03561632526.jpg,Athiti-Regular,24,#FF6666
images/154f790e-733e-43c5-b044-82c77d0d3d07.jpg,FkBeautyRegular,28,#DF3030
images/3ea1f543-37d4-49ec-a651-e0dc7406588f.jpg,Sarabun-Regular,22,#DF3030
images/09257cb7-a96c-45a2-81f5-460fcca96349.jpg,Sarabun-Regular,26,#FF6666
images/e4458a21-49d1-4fd9-99c4-a5ce579c1a73.jpg,Prompt-Regular,26,#DF3030
images/ba5816f2-da0b-4862-b77a-2583161a3fee.jpg,NotoSerifThai-Regular,26,#0000FF
images/a2b8d835-a45e-4e00-8be2-9a2cdf7f7b92.jpg,Sarabun-Regular,24,#FF6666
images/c36c7062-7463-4ae3-8eba-694e6657eefe.jpg,KhaosuayThin,26,#DF3030
images/f1dc5837-8efb-445d-a6e1-91be9132cc7e.jpg,FkBeautyRegular,26,#0000FF
images/3f7fbc99-0cde-4ed9-8409-901fc6be9265.jpg,Athiti-Regular,20,#DF3030
images/e77a75cb-48eb-4089-a1dd-2bba1456aa7f.jpg,NotoSerifThai-Regular,28,#FF6666
images/3cc24ac1-f451-4358-8f4d-572ef2d46aaf.jpg,FkBeautyRegular,20,#DF3030
images/70112dd4-ed34-41dd-a5a1-4b1488a7f5d5.jpg,Prompt-Regular,22,#FF6666
images/40275c6e-aceb-4526-bacc-4c4d98ed1f4b.jpg,Athiti-Regular,26,#FF6666
images/d0488466-db19-4c95-87a4-8bbda4723382.jpg,Prompt-Regular,28,#0000FF
images/b7b39230-0ce4-4558-8cea-f9d8c12ad16c.jpg,Kodchasan-Regular,18,#FF6666
images/32e4e7c0-c2e8-440e-aa47-adb2a80a62a6.jpg,KhaosuayThin,28,#0000FF
images/8d29378f-f450-4cb2-8b33-4da8cd3dbddb.jpg,KhaosuayThin,24,#0000FF
images/0f6268bd-a2a1-4ee4-9807-9d11593662f5.jpg,KhaosuayThin,28,#A020F0
images/30878d32-75c3-4e76-b568-10cab73ded5a.jpg,FkBeautyRegular,26,#26E953
images/378bd9df-eb74-45a4-88ec-41a5b513112c.jpg,Kodchasan-Regular,22,#0000FF
images/809b95ae-cc1f-41f3-b563-584bba421cb2.jpg,Kodchasan-Regular,26,#26E953
images/5c15c943-d1ce-494d-9bc5-c865a1f9fef7.jpg,KhaosuayThin,24,#FF6666
images/09682d5a-8b85-4baa-994f-1c5253b1dcc6.jpg,Kodchasan-Regular,28,#26E953
images/e172ffdb-1228-4b5b-9037-a0c8c750d532.jpg,KhaosuayThin,22,#A020F0
images/4e141cfa-89c4-4238-bd0e-71bd66e3a7eb.jpg,KhaosuayThin,28,#FF6666
images/aa8d4e68-1d30-46d5-8206-b1a45476d8ce.jpg,NotoSerifThai-Regular,18,#A020F0
images/2536c2d8-cc20-4596-aa97-78c50e7934f5.jpg,Kodchasan-Regular,26,#A020F0
images/59265f22-5c61-42c6-9ffa-46a9df475479.jpg,Prompt-Regular,22,#26E953
images/b1dddbae-f79e-43b6-abd1-6ede726deca2.jpg,FkBeautyRegular,28,#FF6666
images/f131b136-88e0-425b-a520-2dc9491733dc.jpg,Athiti-Regular,22,#A020F0
images/b8ba9e7d-c1bc-44e8-bce0-1a28f6c8c05f.jpg,Prompt-Regular,18,#26E953
images/57398934-db90-4281-b8d6-66028f6260e5.jpg,Athiti-Regular,22,#26E953
images/b67064c6-995f-4d89-a427-53d089d34ef1.jpg,Kodchasan-Regular,24,#26E953
images/2490cbfb-f462-42c9-b7dc-69a384bce468.jpg,Kodchasan-Regular,18,#A020F0
images/ac50cebb-6cda-4c4b-af75-223fa81ce0ee.jpg,Kodchasan-Regular,20,#26E953
images/94c4eb3d-4a7a-42c0-80ea-42e8bba7f85a.jpg,FkBeautyRegular,24,#0000FF
images/aabca3ea-2163-4da8-9ca2-e1a52d9037bd.jpg,Athiti-Regular,26,#FF6666
images/79f248d9-62bb-4519-8c9d-19eca37d8c0c.jpg,Athiti-Regular,18,#FF6666
images/b78c5157-249b-41bd-8ba7-8db7705b7c3b.jpg,Athiti-Regular,28,#FF6666
images/4212fe0d-c7a3-45f1-9a12-df54042fc180.jpg,Prompt-Regular,20,#0000FF
images/f9b769fb-5bcb-43b3-85a2-9de17212a478.jpg,Athiti-Regular,26,#DF3030
images/d537de50-1966-43fc-847f-e2ef952f6b86.jpg,Kodchasan-Regular,22,#FF6666
images/1d1f7eca-c181-448f-b969-57e5f17a1205.jpg,Athiti-Regular,26,#DF3030
images/0ec0604b-8079-4482-b749-e5f3b91fcf91.jpg,NotoSerifThai-Regular,18,#0000FF
images/14ce13bf-133f-4080-9903-e170d4c7e7aa.jpg,Kodchasan-Regular,26,#0000FF
images/1fe4a732-6256-478c-b76d-71b44911c1ce.jpg,Athiti-Regular,26,#26E953
images/0a39b4ab-da9e-41e6-a567-0cf726f47771.jpg,KhaosuayThin,28,#A020F0
images/c4a488f2-c0bb-4ce3-8066-177c6a2d862b.jpg,Athiti-Regular,24,#DF3030
images/85cd3516-a254-496a-86e9-6914a876f17b.jpg,Sarabun-Regular,24,#26E953
images/5f925329-5fd1-4255-9eb9-de600d95c922.jpg,KhaosuayThin,24,#A020F0
images/0e53686e-e3b5-4b1d-ba11-48f83736a65e.jpg,NotoSerifThai-Regular,18,#0000FF
images/49ea7259-173f-4e6d-a43c-a94cd3858661.jpg,Sarabun-Regular,24,#DF3030
images/4a214774-005b-413d-b5bd-c663e22aa65d.jpg,Sarabun-Regular,20,#0000FF
images/8dcf99e4-da7b-45c0-a206-79051dd48888.jpg,Athiti-Regular,22,#FF6666
images/49f64048-9f25-4516-98b1-adea072f295c.jpg,Athiti-Regular,28,#0000FF
images/05f5f51e-2dd6-495f-b5c1-33f4dfa64a30.jpg,FkBeautyRegular,24,#DF3030
images/b66a60a3-1443-4266-85c1-84d7eeadf62e.jpg,Sarabun-Regular,22,#A020F0
images/483f3f0e-20b5-4476-8ee2-ca47438de3fc.jpg,Prompt-Regular,28,#A020F0
images/e6bec375-52c2-497e-a148-cbbed56f6387.jpg,Kodchasan-Regular,18,#A020F0
images/2472c646-b557-4e5b-a1dc-c57d1b1007ad.jpg,KhaosuayThin,18,#FF6666
images/fa77dd61-8011-4f38-8b04-1cb55084f449.jpg,KhaosuayThin,26,#A020F0
images/6d07a1c1-a45f-46fd-8c3a-02c90fcccd5e.jpg,FkBeautyRegular,22,#0000FF
images/d2edc575-eccf-433e-aeac-d63b04a62786.jpg,Sarabun-Regular,18,#FF6666
images/1e4aea25-0611-4b54-bcc0-fa563626a857.jpg,Prompt-Regular,28,#26E953
images/bec5156f-01f2-46a0-9f6b-1864d5656256.jpg,NotoSerifThai-Regular,20,#FF6666
images/1f821e6c-2099-4764-983c-d9b1c30a1105.jpg,Sarabun-Regular,24,#26E953
images/e347bb3f-5510-4049-82ab-816202ae0b69.jpg,FkBeautyRegular,20,#FF6666
images/a3f47bc9-9ed7-4d3e-97d0-d95e3a5c05b2.jpg,Kodchasan-Regular,28,#0000FF
images/5b7fb8d8-5309-4e20-8d07-177007713761.jpg,KhaosuayThin,26,#26E953
images/4bd95227-c41d-4117-9b35-06ba3f1e02db.jpg,Prompt-Regular,20,#A020F0
images/6c1722e2-319a-4c5a-8eb0-037b75ad9961.jpg,Athiti-Regular,24,#A020F0
images/1926eb92-c707-4d59-8bed-a89e185f3daf.jpg,KhaosuayThin,22,#DF3030
images/42e82455-2bd8-412b-9e52-b0809c8a35a3.jpg,Sarabun-Regular,18,#DF3030
images/a8f4aa1c-f83e-4f64-87fb-bf588b5c9196.jpg,NotoSerifThai-Regular,24,#26E953
images/6257a621-8066-4e72-a3c0-f109ac7517e3.jpg,KhaosuayThin,24,#FF6666
images/bc821e8d-6368-49a9-8265-f5bd9363ede8.jpg,FkBeautyRegular,26,#A020F0
images/d4f59374-c28f-4fec-8a2d-68bc24fe3a9c.jpg,Athiti-Regular,28,#DF3030
images/9392036a-b96d-4630-ae04-f7d271a691f1.jpg,Prompt-Regular,22,#0000FF
images/4aae347e-a2a0-40b4-aa70-69cf8e02bf64.jpg,Kodchasan-Regular,18,#26E953
images/c1aed376-a8d2-488f-8159-9e98810de0b8.jpg,NotoSerifThai-Regular,22,#FF6666
images/3e0c37bb-7676-4756-bcfb-7be9a3702c70.jpg,Sarabun-Regular,22,#0000FF
images/4b50d1ca-e20d-418e-b954-37d9a70af361.jpg,Athiti-Regular,20,#0000FF
images/62deb9a2-523e-4580-8ee8-452c17844210.jpg,Athiti-Regular,24,#A020F0
images/e8178d14-a53c-4ed3-8dd2-2e2558a9c7bc.jpg,Kodchasan-Regular,26,#26E953
images/11fffe21-28b1-44c2-b936-1bf6db106fa5.jpg,NotoSerifThai-Regular,20,#0000FF
images/ce3a0069-cc66-4881-91c4-14a900bb14f5.jpg,Prompt-Regular,26,#26E953
images/957eb0b8-6c3e-49b2-916e-864567468969.jpg,Prompt-Regular,22,#A020F0
images/bf2ebd3a-e02d-47f5-af48-c9a6b13d4547.jpg,NotoSerifThai-Regular,24,#26E953
images/b9fe7cbd-19fc-477b-9d0b-25b64666ef47.jpg,Athiti-Regular,26,#26E953
images/20151a12-4605-4e49-8510-734840184216.jpg,Prompt-Regular,18,#0000FF
images/5279e293-74ce-42b3-a7fb-64f046c32888.jpg,FkBeautyRegular,28,#0000FF
images/e726bf76-74eb-4f8b-9f79-70e3d0c84bd5.jpg,NotoSerifThai-Regular,20,#0000FF
images/bb195dbe-18c6-4611-b277-e1a20e8c0456.jpg,NotoSerifThai-Regular,22,#DF3030
images/ef2cd4d2-b559-40fb-b0f0-daa1b5449882.jpg,Prompt-Regular,22,#0000FF
images/1d51d0b2-30d7-4ea7-b9fb-6a2ecfe11ac7.jpg,Athiti-Regular,24,#FF6666
images/a9a591b6-0725-4914-9e8d-eb03bdfc826b.jpg,NotoSerifThai-Regular,22,#FF6666
images/a1fccf7a-a3d2-48c8-981f-28a3830aab74.jpg,Sarabun-Regular,18,#FF6666
images/4817c51e-4215-4ce8-9b1b-80e70e4533bd.jpg,Kodchasan-Regular,26,#26E953
images/c8d468cc-2184-449c-9698-083f089faa96.jpg,KhaosuayThin,18,#FF6666
images/a6ce27f3-f72c-407d-b8ea-57b7a5da9bdb.jpg,Sarabun-Regular,20,#0000FF
images/6cc7868b-c033-4373-8561-5b72a9ac020f.jpg,KhaosuayThin,20,#0000FF
images/32a3d83d-1ebc-4323-94ae-102044343927.jpg,KhaosuayThin,26,#0000FF
images/131d9c19-a2f2-47bb-9031-147ba6b24b2c.jpg,Athiti-Regular,28,#A020F0
